Date,Volume
07/01/2024,58100000
08/01/2024,9710000
09/01/2024,11650000
10/01/2024,13120000
11/01/2024,15660000
12/01/2024,16000000
13/01/2024,13870000
14/01/2024,5670000
15/01/2024,9160000
16/01/2024,8920000
17/01/2024,7210000
18/01/2024,11060000
19/01/2024,14670000
20/01/2024,12470000
21/01/2024,14600000
22/01/2024,8800000
23/01/2024,14670000
24/01/2024,10250000
25/01/2024,8430000
26/01/2024,7530000
27/01/2024,6590000
28/01/2024,6370000
29/01/2024,7670000
30/01/2024,8350000
31/01/2024,8720000
01/02/2024,8890000
02/02/2024,8160000
03/02/2024,7110000
04/02/2024,5790000
05/02/2024,7580000
06/02/2024,5790000
07/02/2024,5280000
08/02/2024,5720000
09/02/2024,6090000
10/02/2024,5200000
11/02/2024,5920000
12/02/2024,7160000
13/02/2024,10250000
14/02/2024,7950000
15/02/2024,9390000
16/02/2024,9290000
17/02/2024,9700000
18/02/2024,10390000
19/02/2024,12160000
20/02/2024,12470000
21/02/2024,13860000
22/02/2024,14940000
23/02/2024,12820000
24/02/2024,12180000
25/02/2024,14110000
26/02/2024,16760000
27/02/2024,13740000
28/02/2024,14750000
29/02/2024,21030000
01/03/2024,12660000
02/03/2024,9720000
03/03/2024,10670000
04/03/2024,10280000
05/03/2024,8380000
06/03/2024,14530000
07/03/2024,8860000